COMMENT Column list: Type   Attribute   Date Created   Last Modified   Last Accessed   File size   FileName

COMMENT	
COMMENT	Computer: DESKTOP-VI4396B
COMMENT	User: Student
COMMENT	Prepared: 11:25 5/30/2020
COMMENT	Folder: C:\Users\Student\Documents\Personal\
COMMENT	Include Sub-Folders? Yes
COMMENT	
FOLDER	C:\Users\Student\Documents\Personal\	-------	4	0	0	0
FILE	---A----	4/15/2020 10:31	5/4/2020 08:01	5/4/2020 08:01	214,121	Amazon Order - iphone 8 plus case.pdf
FILE	---A----	4/15/2020 10:41	5/22/2020 05:01	5/22/2020 08:38	215,111	Lowes - water bottle.pdf
FILE	---A----	4/15/2020 11:21	4/28/2020 13:16	4/28/2020 13:16	214,240	Lowes - ssd.pdf
FILE	---A----	4/15/2020 11:31	5/29/2020 23:01	5/29/2020 23:01	213,399	Amazon Order - iphone 7.pdf
FILE	---A----	4/15/2020 11:40	4/23/2020 08:16	4/23/2020 08:16	213,145	NewEgg - monitor.pdf
FILE	---A----	4/15/2020 12:01	4/28/2020 17:16	4/28/2020 17:16	214,240	NewEgg - printer.pdf
FILE	---A----	4/15/2020 12:10	4/28/2020 05:02	4/28/2020 05:02	213,175	Best Buy - bluetooth earbuds.pdf
FILE	---A----	4/15/2020 12:31	5/18/2020 23:01	5/22/2020 08:38	214,117	Lowes - vans.pdf
FILE	---A----	4/15/2020 12:42	4/25/2020 19:46	4/25/2020 19:46	214,117	NewEgg - microwave.pdf
FILE	---A----	4/15/2020 13:01	4/27/2020 21:32	4/27/2020 21:32	213,394	Amazon Order - backpack.pdf
FILE	---A----	4/15/2020 13:11	5/1/2020 02:01	5/1/2020 02:01	214,592	NewEgg - iphone 6 case.pdf
FILE	---A----	4/15/2020 13:31	5/22/2020 23:01	5/22/2020 23:01	215,234	NewEgg - paper towels.pdf
FILE	---A----	4/15/2020 13:41	5/5/2020 20:01	5/5/2020 20:01	213,713	NewEgg - redmi 4.pdf
FILE	---A----	4/15/2020 14:01	5/10/2020 02:01	5/10/2020 02:01	213,398	Amazon Order - external hard drive.pdf
FILE	---A----	4/15/2020 14:21	5/16/2020 05:01	5/16/2020 05:01	178,813	Amazon Order - gaming pc.pdf
FILE	---A----	4/15/2020 14:31	4/23/2020 07:31	4/23/2020 07:31	212,785	Amazon Order - gaming headset.pdf
FILE	---A----	4/15/2020 14:41	4/26/2020 19:46	4/26/2020 19:46	213,295	Lowes - windows 10.pdf
FILE	---A----	4/15/2020 14:50	5/23/2020 17:01	5/23/2020 17:01	214,161	Amazon Order - instant pot.pdf
FILE	---A----	4/15/2020 15:02	5/20/2020 20:01	5/22/2020 08:38	213,404	NewEgg - mattress.pdf
FILE	---A----	4/15/2020 15:11	4/28/2020 04:32	4/28/2020 04:32	213,533	Amazon Order - gaming chair.pdf
FILE	---A----	4/15/2020 15:21	5/6/2020 08:01	5/6/2020 08:01	214,441	Amazon Order - microwave.pdf
FILE	---A----	4/15/2020 15:51	5/4/2020 11:03	5/4/2020 11:03	213,412	NewEgg - pokemon.pdf
FILE	---A----	4/15/2020 16:01	4/23/2020 10:16	4/23/2020 10:16	214,165	NewEgg - notebook.pdf
FILE	---A----	4/15/2020 16:11	4/28/2020 10:16	4/28/2020 10:16	214,240	Amazon Order - yoga mat.pdf
FILE	---A----	4/15/2020 16:21	5/12/2020 02:01	5/12/2020 02:01	213,499	Home Depot - gaming mouse.pdf
FILE	---A----	4/15/2020 16:31	4/28/2020 16:46	4/28/2020 16:46	214,240	Home Depot - echo dot.pdf
FILE	---A----	4/15/2020 17:01	5/20/2020 02:01	5/22/2020 08:38	213,945	NewEgg - iphone x case.pdf
FILE	---A----	4/15/2020 17:11	4/28/2020 08:31	4/28/2020 08:31	214,240	Amazon Order - essential oils.pdf
FILE	---A----	4/15/2020 17:21	5/17/2020 14:02	5/17/2020 14:02	178,813	Amazon Order - xiaomi.pdf
FILE	---A----	4/15/2020 17:41	4/25/2020 14:46	4/25/2020 14:46	213,703	Home Depot - essential oils.pdf
FILE	---A----	4/15/2020 18:11	5/15/2020 17:01	5/15/2020 17:01	178,813	Amazon Order - notebook.pdf
FILE	---A----	4/15/2020 18:21	5/28/2020 17:01	5/28/2020 17:01	213,676	Lowes - toilet paper.pdf
FILE	---A----	4/15/2020 18:31	5/19/2020 17:01	5/22/2020 08:38	212,849	Amazon Order - roku.pdf
FILE	---A----	4/15/2020 19:31	4/15/2020 19:31	4/15/2020 19:31	213,461	Amazon Order - toilet paper.pdf
FILE	---A----	4/15/2020 19:41	4/20/2020 13:31	4/21/2020 23:38	213,219	Home Depot - chromecast.pdf
FILE	---A----	4/15/2020 20:01	4/26/2020 23:31	4/26/2020 23:31	213,709	Amazon Order - fire stick.pdf
FILE	---A----	4/15/2020 20:11	5/21/2020 02:01	5/22/2020 08:38	213,542	Best Buy - camera.pdf
FILE	---A----	4/15/2020 20:21	5/23/2020 05:01	5/23/2020 05:01	213,887	NewEgg - laptops.pdf
FILE	---A----	4/15/2020 20:31	5/2/2020 20:00	5/2/2020 20:01	212,345	Best Buy - fitbit.pdf
FILE	---A----	4/15/2020 20:41	5/28/2020 05:01	5/28/2020 05:01	213,056	NewEgg - iphone.pdf
FILE	---A----	4/15/2020 21:01	4/24/2020 02:46	4/24/2020 02:46	213,521	Amazon Order - smartphone.pdf
FILE	---A----	4/15/2020 21:11	5/10/2020 17:01	5/10/2020 17:01	214,382	NewEgg - iphone 6.pdf
FILE	---A----	4/15/2020 21:21	5/25/2020 20:01	5/25/2020 20:01	213,625	Home Depot - external hard drive.pdf
FILE	---A----	4/15/2020 21:31	5/9/2020 05:01	5/9/2020 05:01	214,758	Best Buy - books.pdf
FILE	---A----	4/15/2020 21:41	5/24/2020 05:01	5/24/2020 05:01	212,838	Home Depot - gaming chair.pdf
FILE	---A----	4/15/2020 22:01	4/28/2020 03:46	4/28/2020 03:46	213,921	NewEgg - prime video.pdf
FILE	---A----	4/15/2020 22:11	4/26/2020 12:32	4/26/2020 12:32	212,866	Amazon Order - fidget spinner.pdf
FILE	---A----	4/15/2020 22:31	5/12/2020 11:01	5/12/2020 11:01	214,030	Best Buy - gift cards for amazon.pdf
FILE	---A----	4/15/2020 22:41	4/18/2020 17:31	4/18/2020 17:31	214,531	Home Depot - game of thrones.pdf
FILE	---A----	4/15/2020 22:51	5/14/2020 14:10	5/14/2020 14:10	212,746	Best Buy - essential oils.pdf
FILE	---A----	4/15/2020 23:01	4/26/2020 15:02	4/26/2020 15:02	178,813	Best Buy - drone.pdf
FILE	---A----	4/15/2020 23:11	4/27/2020 22:46	4/27/2020 22:46	213,101	Amazon Order - playstation 4.pdf
FILE	---A----	4/15/2020 23:41	4/28/2020 02:32	4/28/2020 02:32	212,681	Amazon Order - game of thrones.pdf
FILE	---A----	4/16/2020 00:01	4/27/2020 18:32	4/27/2020 18:32	212,954	Amazon Order - harry potter.pdf
FILE	---A----	4/16/2020 00:21	4/27/2020 16:16	4/27/2020 16:16	212,343	Amazon Order - echo dot.pdf
FILE	---A----	4/16/2020 00:31	4/23/2020 15:01	4/23/2020 15:01	213,393	Amazon Order - chromebook.pdf
FILE	---A----	4/16/2020 01:21	5/15/2020 20:01	5/15/2020 20:01	178,813	Best Buy - earbuds.pdf
FILE	---A----	4/16/2020 01:41	4/27/2020 23:02	4/27/2020 23:02	214,069	Home Depot - gaming headset.pdf
FILE	---A----	4/16/2020 02:01	5/22/2020 08:01	5/22/2020 08:01	214,491	Amazon Order - vacuum cleaner.pdf
FILE	---A----	4/16/2020 02:21	5/21/2020 08:01	5/22/2020 08:38	214,265	Amazon Order - chromecast.pdf
FILE	---A----	4/16/2020 02:31	4/21/2020 10:12	4/21/2020 23:38	213,523	Amazon Order - iphone se.pdf
FILE	---A----	4/16/2020 02:41	5/18/2020 20:01	5/22/2020 08:38	213,943	Home Depot - dash cam.pdf
FILE	---A----	4/16/2020 02:51	5/11/2020 02:01	5/11/2020 02:01	213,769	Home Depot - gift card.pdf
FILE	---A----	4/16/2020 03:01	4/25/2020 10:31	4/25/2020 10:31	214,974	Amazon Order - ps4.pdf
FILE	---A----	4/16/2020 03:31	5/20/2020 08:01	5/22/2020 08:38	213,910	Home Depot - gift cards for amazon.pdf
FILE	---A----	4/16/2020 03:51	4/28/2020 04:01	4/28/2020 04:01	214,308	Amazon Order - iphone 6s.pdf
FILE	---A----	4/16/2020 04:11	5/17/2020 02:01	5/17/2020 02:01	178,813	NewEgg - roku.pdf
FILE	---A----	4/16/2020 04:51	5/19/2020 05:01	5/22/2020 08:38	213,504	NewEgg - sd card.pdf
FILE	---A----	4/16/2020 05:01	4/20/2020 10:01	4/21/2020 23:38	214,531	Amazon Order - pop socket.pdf
FILE	---A----	4/16/2020 05:11	5/26/2020 02:01	5/26/2020 02:01	212,703	Amazon Order - books.pdf
FILE	---A----	4/16/2020 05:31	4/27/2020 20:16	4/27/2020 20:16	213,591	Amazon Order - star wars.pdf
FILE	---A----	4/16/2020 05:41	5/4/2020 05:01	5/4/2020 05:01	213,381	Amazon Order - wireless mouse.pdf
FILE	---A----	4/16/2020 05:51	4/28/2020 05:31	4/28/2020 05:31	214,349	Lowes - shoes.pdf
FILE	---A----	4/16/2020 06:01	5/19/2020 08:01	5/22/2020 08:38	214,018	NewEgg - mouse pad.pdf
FILE	---A----	4/16/2020 06:11	4/19/2020 00:01	4/19/2020 00:01	214,531	Amazon Order - alexa.pdf
FILE	---A----	4/16/2020 06:41	5/8/2020 05:01	5/8/2020 05:01	213,025	NewEgg - iphone 7 case.pdf
FILE	---A----	4/16/2020 07:11	4/27/2020 10:01	4/27/2020 10:01	214,295	Best Buy - alexa.pdf
FILE	---A----	4/16/2020 07:41	5/26/2020 08:01	5/26/2020 08:01	214,190	Amazon Order - fan.pdf
FILE	---A----	4/16/2020 07:51	5/6/2020 11:01	5/6/2020 11:01	213,002	Home Depot - echo.pdf
FILE	---A----	4/16/2020 08:31	5/14/2020 17:01	5/14/2020 17:01	213,269	Home Depot - fidget spinner.pdf
FILE	---A----	4/16/2020 08:41	5/13/2020 17:01	5/13/2020 17:01	213,808	Amazon Order - bluetooth headphones.pdf
FILE	---A----	4/16/2020 09:31	4/29/2020 14:01	4/29/2020 14:01	214,541	Amazon Order - ps4 games.pdf
FILE	---A----	4/16/2020 09:40	5/28/2020 11:01	5/28/2020 11:01	213,222	Amazon Order - iphone 7 plus.pdf
FILE	---A----	4/16/2020 09:50	4/27/2020 01:31	4/27/2020 01:31	212,383	NewEgg - iphone 6s case.pdf
FILE	---A----	4/16/2020 10:00	4/28/2020 12:31	4/28/2020 12:31	214,240	NewEgg - movies.pdf
FILE	---A----	4/16/2020 10:20	4/19/2020 04:41	4/19/2020 04:41	214,531	Amazon Order - bluetooth earbuds.pdf
FILE	---A----	4/16/2020 10:50	4/28/2020 08:46	4/28/2020 08:46	214,240	Amazon Order - hbo.pdf
FILE	---A----	4/16/2020 11:01	4/20/2020 16:01	4/21/2020 23:38	213,925	Amazon Order - nike.pdf
FILE	---A----	4/16/2020 11:20	5/26/2020 05:01	5/26/2020 05:01	213,368	Lowes - smart watch.pdf
FILE	---A----	4/16/2020 11:30	5/22/2020 20:01	5/22/2020 20:01	213,577	NewEgg - nike.pdf
FILE	---A----	4/16/2020 12:01	4/23/2020 17:01	4/23/2020 17:01	213,665	Amazon Order - apple watch.pdf
FILE	---A----	4/16/2020 12:10	5/14/2020 11:14	5/14/2020 11:14	213,448	Amazon Order - protein powder.pdf
FILE	---A----	4/16/2020 12:20	4/25/2020 09:46	4/25/2020 09:46	213,078	Amazon Order - coffee maker.pdf
FILE	---A----	4/16/2020 12:31	5/27/2020 23:01	5/27/2020 23:01	213,964	Home Depot - fire stick.pdf
FILE	---A----	4/16/2020 12:50	4/26/2020 13:16	4/26/2020 13:16	214,463	Amazon Order - xbox one controller.pdf
FILE	---A----	4/16/2020 13:21	4/26/2020 08:46	4/26/2020 08:46	214,309	Best Buy - fidget spinner.pdf
FILE	---A----	4/16/2020 13:41	5/30/2020 05:01	5/30/2020 05:01	213,488	Best Buy - gift card.pdf
FILE	---A----	4/16/2020 13:50	5/20/2020 17:01	5/22/2020 08:38	214,100	Amazon Order - kindle fire.pdf
FILE	---A----	4/16/2020 14:01	4/28/2020 00:46	4/28/2020 00:46	214,069	Lowes - shower curtain.pdf
FILE	---A----	4/16/2020 14:31	5/29/2020 08:01	5/29/2020 08:01	213,617	Amazon Order - gtx 1060.pdf
FILE	---A----	4/16/2020 14:40	5/7/2020 02:01	5/7/2020 02:01	213,375	Best Buy - earphones.pdf
FILE	---A----	4/16/2020 15:00	5/20/2020 11:26	5/22/2020 08:38	213,776	Amazon Order - samsung.pdf
FILE	---A----	4/16/2020 15:31	5/19/2020 11:01	5/22/2020 08:38	213,696	NewEgg - nintendo switch.pdf
FILE	---A----	4/16/2020 17:51	5/27/2020 11:01	5/27/2020 11:01	213,482	Amazon Order - lego.pdf
FILE	---A----	4/16/2020 18:11	5/11/2020 17:01	5/11/2020 17:01	213,494	Lowes - samsung galaxy s8.pdf
FILE	---A----	4/16/2020 18:31	5/16/2020 17:01	5/16/2020 17:01	178,813	Home Depot - coffee.pdf
FILE	---A----	4/16/2020 18:51	5/15/2020 11:01	5/15/2020 11:01	178,813	Amazon Order - ipad.pdf
FILE	---A----	4/16/2020 19:01	5/26/2020 11:01	5/26/2020 11:01	213,216	Best Buy - flash drive.pdf
FILE	---A----	4/16/2020 19:11	5/29/2020 17:01	5/29/2020 17:01	213,439	NewEgg - ps4 controller.pdf
FILE	---A----	4/16/2020 19:31	5/27/2020 14:01	5/27/2020 14:01	214,027	NewEgg - kindle fire.pdf
FILE	---A----	4/16/2020 20:01	5/17/2020 11:02	5/17/2020 11:02	178,813	Lowes - tv.pdf
FILE	---A----	4/16/2020 20:41	5/12/2020 17:01	5/12/2020 17:01	213,926	Amazon Order - doctor who.pdf
FILE	---A----	4/16/2020 21:01	5/1/2020 11:01	5/1/2020 11:01	213,162	Amazon Order - drone.pdf
FILE	---A----	4/16/2020 21:11	5/25/2020 08:01	5/25/2020 08:01	215,513	Amazon Order - mattress.pdf
FILE	---A----	4/16/2020 21:20	5/25/2020 14:01	5/25/2020 14:01	213,224	Amazon Order - computer desk.pdf
FILE	---A----	4/16/2020 21:31	4/25/2020 22:46	4/25/2020 22:46	212,574	NewEgg - laptop.pdf
FILE	---A----	4/16/2020 21:51	5/21/2020 17:01	5/22/2020 08:38	214,079	Amazon Order - hdmi cable.pdf
FILE	---A----	4/16/2020 22:11	5/20/2020 05:01	5/22/2020 08:38	212,744	Amazon Order - nintendo switch.pdf
FILE	---A----	4/16/2020 23:21	4/27/2020 09:16	4/27/2020 09:16	212,719	NewEgg - micro sd card.pdf
FILE	---A----	4/16/2020 23:51	5/16/2020 20:01	5/16/2020 20:01	178,813	Lowes - wireless headphones.pdf
FILE	---A----	4/17/2020 00:01	5/7/2020 08:01	5/7/2020 08:01	213,815	Amazon Order - ps4 controller.pdf
FILE	---A----	4/17/2020 00:51	4/26/2020 06:46	4/26/2020 06:46	212,867	Amazon Order - tv.pdf
FILE	---A----	4/17/2020 01:01	5/6/2020 23:01	5/6/2020 23:01	213,664	Best Buy - aa batteries.pdf
FILE	---A----	4/17/2020 01:21	4/23/2020 13:31	4/23/2020 13:31	212,874	NewEgg - pop socket.pdf
FILE	---A----	4/17/2020 01:31	4/25/2020 23:46	4/25/2020 23:46	212,635	Best Buy - gopro.pdf
FILE	---A----	4/17/2020 01:41	5/7/2020 20:01	5/7/2020 20:01	213,283	Amazon Order - redmi 4a.pdf
FILE	---A----	4/17/2020 01:50	5/23/2020 02:01	5/23/2020 02:01	213,431	Lowes - xbox one controller.pdf
FILE	---A----	4/17/2020 02:10	5/25/2020 23:01	5/25/2020 23:01	213,930	Amazon Order - gaming mouse.pdf
FILE	---A----	4/17/2020 03:20	4/26/2020 04:31	4/26/2020 04:31	211,219	Best Buy - gaming headset.pdf
FILE	---A----	4/17/2020 04:01	4/28/2020 14:02	4/28/2020 14:02	214,240	Amazon Order - fitbit.pdf
FILE	---A----	4/17/2020 04:11	5/25/2020 02:01	5/25/2020 02:01	214,063	Best Buy - computer desk.pdf
FILE	---A----	4/17/2020 04:51	4/23/2020 18:46	4/23/2020 18:46	213,642	Lowes - sd card.pdf
FILE	---A----	4/17/2020 05:11	5/27/2020 17:01	5/27/2020 17:01	214,155	Amazon Order - gtx 1070.pdf
FILE	---A----	4/17/2020 06:11	5/2/2020 02:01	5/2/2020 02:01	213,713	NewEgg - mouse.pdf
FILE	---A----	4/17/2020 07:01	4/27/2020 10:16	4/27/2020 10:16	214,431	Best Buy - anker.pdf
FILE	---A----	4/17/2020 07:21	5/25/2020 17:01	5/25/2020 17:01	213,018	NewEgg - lego.pdf
FILE	---A----	4/17/2020 09:31	4/25/2020 19:31	4/25/2020 19:31	213,264	Amazon Order - shower curtain.pdf
FILE	---A----	4/17/2020 09:50	5/21/2020 14:01	5/22/2020 08:38	213,430	Home Depot - flash drive.pdf
FILE	---A----	4/17/2020 10:51	5/30/2020 11:01	5/30/2020 11:01	213,859	Amazon Order - power bank.pdf
FILE	---A----	4/17/2020 11:01	4/29/2020 02:01	4/29/2020 02:01	212,792	NewEgg - projector.pdf
FILE	---A----	4/17/2020 12:21	4/28/2020 08:16	4/28/2020 08:16	214,240	Best Buy - gaming pc.pdf
FILE	---A----	4/17/2020 12:41	5/19/2020 23:01	5/22/2020 08:38	213,059	Lowes - xiaomi.pdf
FILE	---A----	4/17/2020 13:41	5/11/2020 20:01	5/11/2020 20:01	214,937	NewEgg - iphone 7.pdf
FILE	---A----	4/17/2020 14:02	5/29/2020 14:01	5/29/2020 14:01	213,358	NewEgg - iphone se.pdf
FILE	---A----	4/17/2020 15:11	4/20/2020 20:01	4/21/2020 23:38	212,867	Amazon Order - samsung galaxy s8.pdf
FILE	---A----	4/17/2020 15:31	4/28/2020 12:16	4/28/2020 12:16	214,240	Amazon Order - iphone x.pdf
FILE	---A----	4/17/2020 16:11	4/27/2020 12:02	4/27/2020 12:02	213,293	Lowes - watch.pdf
FILE	---A----	4/17/2020 17:01	4/28/2020 00:16	4/28/2020 00:16	213,429	NewEgg - shoes.pdf
FILE	---A----	4/17/2020 17:51	5/17/2020 20:01	5/22/2020 08:38	214,344	Amazon Order - huawei.pdf
FILE	---A----	4/17/2020 18:21	4/26/2020 08:01	4/26/2020 08:01	213,857	Lowes - xbox one x.pdf
FILE	---A----	4/17/2020 19:01	4/28/2020 11:16	4/28/2020 11:16	214,240	Home Depot - coffee maker.pdf
FILE	---A----	4/17/2020 19:50	4/28/2020 10:31	4/28/2020 10:31	214,240	NewEgg - instant pot.pdf
FILE	---A----	4/17/2020 20:01	4/25/2020 15:46	4/25/2020 15:46	213,900	Best Buy - hard drive.pdf
FILE	---A----	4/17/2020 21:11	4/25/2020 00:48	4/25/2020 00:48	214,244	Best Buy - backpack.pdf
FILE	---A----	4/17/2020 21:31	4/24/2020 04:31	4/24/2020 04:31	213,647	Amazon Order - gtx 1080.pdf
FILE	---A----	4/17/2020 22:01	5/28/2020 02:01	5/28/2020 02:01	214,029	Amazon Order - coffee.pdf
FILE	---A----	4/17/2020 22:20	5/3/2020 02:00	5/3/2020 02:00	213,519	Amazon Order - laptop.pdf
FILE	---A----	4/17/2020 22:40	5/5/2020 05:01	5/5/2020 05:01	213,198	Amazon Order - tablet.pdf
FILE	---A----	4/17/2020 22:50	5/9/2020 23:01	5/9/2020 23:01	213,128	Amazon Order - anker.pdf
